
1_Running++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
--------------------------Creature Joints----------------------------
168.53492060 131.07458735
188.49000576 38.17251753
178.21830163 64.92935166
193.44714744 115.78353162
225.35726138 168.44069531
263.78982241 127.69835502
114.71575982 83.68518888
81.46249022 0.00000000
257.67801351 83.67021336
285.39605749 0.00000000
---------------------------------------------------------------------
--------------------------Creature Joints----------------------------
133.80689120 123.39858320
145.98541034 29.16120383
126.31989727 56.96888356
161.44679911 96.77046810
186.97853471 165.79882804
242.97001689 164.40098588
76.24154459 80.63775973
36.15984698 0.00000000
210.72825837 80.78856452
245.97315034 0.00000000
---------------------------------------------------------------------
--------------------------Creature Joints----------------------------
128.72979694 106.19817680
133.51829449 11.29785914
94.39392503 48.83958569
138.35452907 78.59745285
185.04762972 144.32042944
225.27261805 183.29414306
68.00352153 68.05926452
9.03804612 0.00000000
202.09200355 57.71625171
268.70903482 0.00000000
---------------------------------------------------------------------
