--------------------------Creature Joints----------------------------
265.00053065 90.29285249
302.75870230 193.61371432
383.63084914 111.05083584
353.67545902 15.68852026
197.07255494 9.55345491
150.89569964 59.87746912
208.68108230 188.13490008
323.11977177 188.09885982
279.94120127 201.12075581
380.99655481 86.98742832
380.64194126 130.82622961
368.12169285 40.43322993
330.42774980 2.10378099
229.05273812 0.00000000
178.99893449 36.87234804
172.73114086 38.42460928
163.67087332 62.48525605
234.00194259 191.10927988
191.88084748 166.41483785
--------------------------Creature States----------------------------
1 0 5 0 6 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
