--------------------------Creature Joints----------------------------
-104.80712383 106.75235831
-35.02548956 112.36693925
-103.37317734 54.73367130
-31.79375878 63.47362768
-159.52663229 103.92482473
-204.64314296 52.42193133
21.92915551 114.95940615
77.02578835 66.69525420
-240.58984637 83.28997992
-179.75879838 12.91541026
-264.70479757 54.78614706
-217.94508625 0.00000000
49.05566878 28.92335261
110.05579066 94.49719838
81.97510683 9.52434434
134.85243371 62.44842993
--------------------------Creature States----------------------------
-1 -1 -1 -1 0 13 6 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
