--------------------------Creature Joints----------------------------
300.14510000 101.91800000
300.14510000 211.92200000
398.79810000 170.99500000
388.91710000 27.42920000
272.83610000 0.00000000
183.85020000 81.41180000
207.66810000 166.67100000
321.16210000 213.73100000
276.13710000 211.14100000
406.61010000 148.08300000
387.71010000 187.64000000
403.33110000 52.19270000
365.68710000 13.81420000
305.85110000 4.90004000
244.88810000 17.08470000
203.76310000 58.16340000
196.80210000 82.91310000
229.34210000 180.09600000
201.65610000 139.87800000
--------------------------Creature States----------------------------
3 3 3 3 3 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
