--------------------------Creature Joints----------------------------
-160.46709766 189.73115835
-94.78224329 213.94891848
-145.06356383 140.02470861
-78.48998469 167.73677386
-213.03755670 109.16184465
-252.87536862 53.47525467
-8.82787457 141.58094627
-40.45297995 75.51340488
-291.68106376 80.66201494
-224.22973573 16.60489356
-312.87869874 49.92669926
-260.96225419 0.00000000
-84.36648748 92.26595675
-4.77636343 51.20068831
-94.17329673 55.33578730
-28.95430712 18.68263019
--------------------------Creature States----------------------------
-1 -1 -1 -1 5 5 0 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
