--------------------------Creature Joints----------------------------
12825.63721083 158.66225327
12901.79391568 183.16034108
12838.33230434 102.86947058
12916.97209849 122.91399044
12846.58030466 165.39922742
12883.70669828 177.34204523
12838.71826768 199.63646408
12873.63451757 211.91878851
12801.91559289 31.91277930
12972.16352125 72.92490955
12864.09740904 0.00000000
12988.77507030 0.00000000
12774.06196027 110.84958826
12776.45272313 62.52513819
12958.17049628 160.18978870
12937.66395375 120.23343438
--------------------------Creature States----------------------------
-1 -1 -1 7 -1 -1 -1 5 -1 9 3 -1 -1 -1 -1 9 4 3 0 
---------------------------------------------------------------------
