--------------------------Creature Joints----------------------------
54.00000000 186.86400000
114.00000000 186.86400000
214.00000000 186.86400000
269.00000000 186.86400000
82.00000000 137.86400000
242.00000000 137.86400000
38.13000000 85.58210000
126.62600000 84.68070000
29.09370000 34.33420000
126.62600000 30.68070000
8.58773000 9.89027000
37.31960000 5.95582000
105.62600000 5.68070000
144.62600000 4.68070000
195.63000000 82.60280000
282.76000000 89.28840000
195.63000000 33.43980000
179.29700000 0.00000000
211.19100000 2.60358000
282.76000000 43.28840000
258.76000000 11.28840000
298.76000000 11.28840000
--------------------------Creature States----------------------------
-1 -1 -1 -1 -1 -1 -1 -1 2 6 2 6 3 3 -1 -1 -1 -1 3 3 -1 -1 -1 -1 
---------------------------------------------------------------------
