--------------------------Creature Joints----------------------------
-208.06103757 165.44163040
-142.11481383 141.94491627
-228.08607756 117.41041374
-159.21848542 96.02689782
-271.36248755 56.58170000
-203.20035258 50.10320335
-89.10669385 120.95225814
-70.67956707 50.06143847
-207.21811098 2.89240451
-185.70598575 93.39226595
-169.99401454 0.00000000
-152.89791632 69.96939287
-115.04707702 34.55117740
-27.73322483 54.48194092
-98.73061099 0.00000000
-25.24632821 14.03676308
--------------------------Creature States----------------------------
-1 -1 -1 -1 12 13 9 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 
---------------------------------------------------------------------
