--------------------------Creature Joints----------------------------
149.61674697 194.33106180
209.39837859 189.21671721
309.03443129 180.69280957
363.83426028 176.00466037
173.33812698 143.12270183
332.75581131 129.48444961
111.53871815 114.16053625
144.11852591 80.14525993
125.10403549 63.92126737
121.39132791 31.16082903
116.90908076 33.08552129
144.59521525 41.71559705
91.81997608 17.32120654
126.77674658 0.00000000
267.43469473 98.87188921
369.22692711 77.61129444
227.21703619 70.59574183
190.46775780 64.72397453
210.94147453 40.13062608
395.68389728 39.98113726
394.45562061 0.00000000
427.17749642 23.00606102
--------------------------Creature States----------------------------
-1 -1 -1 -1 -1 -1 -1 -1 0 0 0 6 8 7 -1 -1 -1 -1 0 7 -1 -1 -1 -1 
---------------------------------------------------------------------
