--------------------------Creature Joints----------------------------
182.00000000 208.75000000
183.00000000 178.75000000
196.00000000 194.75000000
183.00000000 162.75000000
183.00000000 146.75000000
197.00000000 143.75000000
191.00000000 108.75000000
180.00000000 107.75000000
172.40500000 64.67630000
188.63700000 58.76600000
172.40500000 16.41660000
161.87900000 11.29840000
188.73300000 14.09580000
188.63700000 4.17664000
175.70400000 5.49557000
206.84600000 0.00000000
--------------------------Creature States----------------------------
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 2 13 13 -1 -1 -1 -1 
---------------------------------------------------------------------
